ProfileID,Age,GenderEncoded,RegionEncoded,EducationEncoded,FieldOfStudyEncoded,ExperienceYears,YearsSinceGraduation,YearsGap,DigitalSkillEncoded,EnglishLevelEncoded,CurrentEmploymentStatusEncoded,DesiredIndustryEncoded,PreferredJobTypeEncoded,TechSkillCount,SoftSkillCount,HasPythonSkill,HasDigitalMarketing,CertificationsCount
1,23,0,26,2,2,0,1,1,1,1,1,6,2,2,2,0,1,2
2,23,1,22,1,5,2,3,1,0,0,2,7,0,3,2,0,0,0
3,25,1,23,1,8,0,6,6,1,2,0,1,1,4,2,1,1,1
4,19,0,8,4,9,0,1,1,1,1,0,6,1,4,3,0,0,2
5,24,0,19,4,6,1,5,4,1,1,1,4,1,3,3,0,0,1
6,20,1,6,4,8,0,0,0,2,0,0,5,3,3,3,0,0,2
7,25,0,18,1,8,4,4,0,0,1,4,2,1,2,2,0,0,1
8,25,1,7,5,2,1,4,3,2,2,1,6,2,2,2,0,0,0
9,23,0,8,3,0,2,3,1,1,1,4,3,3,3,2,0,0,0
10,19,1,12,5,3,0,1,1,1,0,3,9,1,4,3,0,0,0
11,18,0,25,4,0,0,0,0,1,0,1,3,1,2,2,0,0,1
12,26,0,13,1,5,1,8,7,2,2,1,6,1,2,3,0,0,0
13,27,0,2,2,7,7,8,1,2,0,1,5,3,4,2,1,0,0
14,21,0,24,4,5,1,1,0,2,2,5,5,3,4,3,0,1,1
15,18,1,22,5,2,0,0,0,1,1,4,9,1,4,2,0,1,0
16,25,1,19,4,6,4,8,4,0,0,1,2,3,2,3,0,0,1
17,23,0,20,4,9,3,5,2,0,0,5,0,0,2,3,0,0,0
18,29,0,25,5,4,8,9,1,2,0,5,8,0,2,3,0,0,3
19,28,1,12,5,5,0,0,0,1,0,1,3,0,2,2,0,0,1
20,22,1,1,5,0,0,1,1,2,0,5,6,0,3,3,0,0,0
21,21,0,27,3,5,0,3,3,1,1,5,7,3,4,2,0,0,2
22,22,1,15,1,6,3,5,2,1,1,0,3,2,4,2,0,0,1
23,21,0,15,1,3,0,1,1,2,1,0,6,1,4,2,0,0,3
24,24,0,15,5,4,3,3,0,1,0,0,8,3,3,3,0,0,3
25,24,1,15,5,0,3,5,2,1,1,3,9,2,2,3,0,0,2
26,19,0,28,3,3,0,0,0,1,2,4,0,1,3,3,0,1,1
27,19,1,27,5,4,0,0,0,1,2,5,7,2,4,3,0,0,1
28,26,1,11,5,8,2,2,0,1,2,0,8,3,4,2,0,0,1
29,23,0,8,3,4,3,6,3,2,0,4,9,3,3,2,1,1,2
30,20,0,2,1,7,0,0,0,1,0,5,5,3,2,2,0,0,1
31,22,1,23,4,6,2,2,0,1,0,1,8,0,4,3,0,1,0
32,19,0,6,3,6,0,1,1,1,2,5,9,2,3,3,0,0,3
33,19,1,20,2,1,1,1,0,2,0,2,1,0,4,2,0,0,2
34,21,1,9,3,5,3,3,0,0,0,5,3,0,4,3,0,0,1
35,23,0,9,4,9,0,0,0,2,1,5,5,0,2,2,0,0,1
36,24,1,3,5,0,1,4,3,1,1,4,8,0,3,2,0,0,3
37,22,0,22,0,0,0,0,0,2,1,5,3,3,4,3,0,0,1
38,24,1,26,5,5,1,3,2,2,0,5,9,3,2,3,0,0,0
39,22,1,15,3,0,2,2,0,1,2,5,6,1,4,2,0,1,1
40,20,0,6,1,5,2,2,0,1,0,0,4,3,4,2,1,0,3
41,19,1,14,4,6,2,2,0,1,0,1,7,2,2,3,0,0,2
42,21,1,23,2,6,0,3,3,1,0,5,7,3,4,2,1,0,2
43,23,0,23,1,4,1,2,1,0,1,4,5,1,4,3,0,0,1
44,21,0,25,1,0,2,2,0,1,1,3,4,1,3,2,0,0,2
45,22,1,25,1,1,2,4,2,0,0,5,5,2,2,3,0,0,1
46,28,1,3,5,2,3,3,0,2,1,4,4,2,3,2,1,0,2
47,23,0,23,4,5,5,6,1,0,0,2,2,0,4,3,0,1,2
48,23,1,14,5,4,0,5,5,1,0,0,6,2,2,2,0,0,1
49,23,0,2,3,6,0,1,1,2,1,3,3,2,4,3,0,0,3
50,26,1,0,5,3,4,9,5,1,1,5,2,1,3,3,0,0,3
51,22,1,1,3,7,0,5,5,0,1,1,2,1,4,2,0,0,1
52,27,1,27,2,8,0,2,2,0,0,3,3,1,4,2,0,0,3
53,24,0,16,4,9,3,3,0,0,2,5,7,3,3,3,0,0,0
54,20,0,17,0,2,2,2,0,2,0,1,2,2,2,2,1,0,0
55,25,1,3,3,8,6,8,2,1,1,1,6,2,4,2,1,0,3
56,25,0,21,1,1,0,5,5,1,0,4,4,3,4,2,1,0,0
57,24,0,5,3,5,0,0,0,0,0,4,2,1,2,2,0,0,1
58,21,1,14,4,0,0,3,3,1,1,2,9,3,3,3,1,0,3
59,18,0,25,4,2,0,0,0,1,0,5,5,0,3,3,0,0,2
60,23,1,2,3,0,1,1,0,1,0,5,4,2,3,3,0,0,2
61,24,0,4,4,6,1,5,4,1,1,0,1,3,3,3,1,0,0
62,22,1,18,2,8,0,0,0,0,1,2,5,1,3,3,0,0,2
63,22,0,17,4,9,3,5,2,2,1,1,6,1,3,2,0,0,2
64,24,1,19,4,5,0,0,0,2,1,3,4,2,3,3,0,0,2
65,26,0,19,0,2,0,0,0,1,0,4,2,0,3,3,0,0,1
66,24,1,5,5,7,0,5,5,1,1,3,4,3,3,3,0,0,0
67,19,0,17,2,8,0,1,1,2,1,0,7,0,4,2,0,0,1
68,24,0,16,2,6,0,2,2,2,0,4,0,3,2,3,0,0,0
69,20,0,11,0,7,2,2,0,2,1,4,1,0,2,3,0,1,1
70,19,1,13,1,3,0,0,0,1,2,1,6,1,2,3,0,0,1
71,24,0,10,4,2,0,5,5,1,1,3,2,1,3,3,0,1,1
72,19,1,7,2,1,0,1,1,1,2,2,9,3,4,3,0,0,1
73,25,0,15,2,7,0,1,1,1,2,0,5,2,2,2,0,0,1
74,23,0,29,2,7,3,5,2,2,0,1,4,1,3,3,0,0,3
75,24,0,28,0,6,4,5,1,0,1,3,6,0,2,3,0,0,0
